Harry Potter and the Sorcerer's Stone
Gone with the Wind
1984
"The Lion, the Witch and the Wardrobe"
Ulysses
Sapiens: A Brief History of Humankind
Faust
Great Expectations
The Fellowship of the Ring
To Kill a Mockingbird
The Little Prince
The Art of War
Lord of the Flies
Jane Eyre
All Quiet on the Western Front
The Old Man and the Sea
One Hundred Years of Solitude
The Wind-Up Bird Chronicle
The Book Thief
"Moby-Dick or, the Whale"
The Great Gatsby
The Alchemist
Lolita
The Divine Comedy
The Adventures of Huckleberry Finn
Memoirs of a Geisha
Brave New World
Fahrenheit 451
Pride and Prejudice
The Kite Runner
Collected Fictions
Wuthering Heights
Romeo and Juliet
Austerlitz
The Catcher in the Rye
The Hitchhiker's Guide to the Galaxy
Mrs. Dalloway
A Game of Thrones
The Grapes of Wrath
Dao De Jing: The Book of the Way
Three Men in a Boat
Mary Poppins
The Sound and the Fury
Catch-22
The Odyssey
The Secret Garden
Swann’s Way
The Adventures of Sherlock Holmes
The Trial
One Flew Over the Cuckoo's Nest
Pippi Longstocking
Frankenstein: The 1818 Text
Never Let Me Go
The Master and Margarita
Charlie and the Chocolate Factory
War and Peace
The Picture of Dorian Gray
Crime and Punishment
Dracula
The Red and the Black
Midnight's Children
The Call of the Wild
The Poisonwood Bible
The Bell Jar
Fight Club
And Then There Were None
Twenty Thousand Leagues Under the Sea
The Plague
The Prophet
Perfume: The Story of a Murderer
Alice's Adventures in Wonderland
The Portrait of a Lady
A Brief History of Time
The Three Musketeers
Siddhartha
The Stand
The Magic Mountain
Slaughterhouse-Five
Winnie-the-Pooh
A Prayer for Owen Meany
Les Misérables
Robinson Crusoe
The Last Samurai
Madame Bovary
Sister Carrie
The Girl with the Dragon Tattoo
The Complete Stories and Poems
The Secret Life of Bees
Little Women
Atonement
Charlotte's Web
The Little Mermaid
Gulliver's Travels
On the Road
A Clockwork Orange
Don Quixote
Hunger
Anne of Green
Lord Jim
